index,detect_ms,n_detections,scene_locked,battery_c
723,216.35,1,true,34.00
724,217.78,1,true,34.00
725,205.42,1,true,34.00
726,220.98,1,true,34.00
727,231.37,1,true,34.00
728,214.97,1,true,34.00
729,236.03,1,true,34.00
730,215.55,1,true,34.00
731,217.51,1,true,34.00
732,219.38,1,true,34.00
733,210.97,1,true,34.00
734,229.37,1,true,34.00
735,212.00,1,true,34.00
736,199.14,1,true,34.00
737,198.97,1,true,34.00
738,224.20,1,true,34.00
739,220.17,1,true,34.00
740,204.93,1,true,34.00
741,230.58,1,true,34.00
742,228.51,1,true,34.00
743,217.71,1,true,34.00
744,234.05,1,true,34.00
745,200.52,1,true,34.00
746,224.72,1,true,34.00
747,209.70,1,true,34.00
748,230.28,1,true,34.00
749,230.03,1,true,34.00
750,240.41,1,true,34.00
751,211.16,1,true,34.00
752,226.74,1,true,34.00
753,229.43,1,true,34.00
754,224.57,1,true,34.00
755,231.14,1,true,34.00
756,211.38,1,true,34.00
757,229.84,1,true,34.00
758,223.61,1,true,34.00
759,211.49,1,true,34.00
760,225.48,1,true,34.00
761,233.50,1,true,34.00
762,247.41,1,true,34.00
763,239.92,1,true,34.00
764,240.27,1,true,34.00
765,247.31,1,true,34.00
766,252.15,1,true,34.00
767,224.29,1,true,34.00
768,234.55,1,true,34.00
769,241.36,1,true,34.00
770,232.54,1,true,34.00
771,231.92,1,true,34.00
772,248.93,1,true,34.00
773,242.78,1,true,34.00
774,233.07,1,true,34.00
775,231.10,1,true,34.00
776,243.30,1,true,34.00
777,226.94,1,true,34.00
778,256.23,1,true,34.00
779,230.75,1,true,34.00
780,233.00,1,true,34.00
781,248.28,1,true,34.00
782,236.03,1,true,34.00
783,229.33,1,true,34.00
784,239.44,1,true,34.00
785,254.90,1,true,34.00
786,239.28,1,true,34.00
787,230.21,1,true,34.00
788,220.22,1,true,34.00
789,235.07,1,true,34.00
790,235.97,1,true,34.00
791,246.72,1,true,34.00
792,243.49,1,true,34.00
793,248.27,1,true,34.00
794,238.10,1,true,34.00
795,241.83,1,true,34.00
796,248.29,1,true,34.00
797,231.36,1,true,34.00
798,221.67,1,true,34.00
799,241.76,1,true,34.00
800,224.64,1,true,34.00
801,235.64,1,true,34.00
802,234.75,1,true,34.00
803,240.67,1,true,34.00
804,241.53,1,true,34.00
805,243.14,1,true,34.00
806,234.84,1,true,34.00
807,255.32,1,true,34.00
808,255.02,1,true,34.00
809,234.52,1,true,34.00
810,233.65,1,true,34.00
811,228.96,1,true,34.00
812,239.92,1,true,34.00
813,232.83,1,true,34.00
814,256.85,1,true,34.00
815,242.78,1,true,34.00
816,254.82,1,true,34.00
817,238.91,1,true,34.00
818,239.97,1,true,34.00
819,227.39,1,true,34.00
820,243.50,1,true,34.00
821,241.08,1,true,34.00
822,234.77,1,true,34.00
823,252.54,1,true,34.00
824,247.91,1,true,34.00
825,227.35,1,true,34.00
826,239.85,1,true,34.00
827,243.97,1,true,34.00
828,241.49,1,true,34.00
829,240.25,1,true,34.00
830,233.64,1,true,34.00
831,273.04,1,true,34.00
832,233.90,1,true,34.00
833,237.29,1,true,34.00
834,237.73,1,true,34.00
835,244.13,1,true,34.00
836,257.00,1,true,34.00
837,232.26,1,true,34.00
838,246.72,1,true,34.00
839,253.54,1,true,34.00
840,239.68,1,true,34.00
841,246.59,1,true,34.00
842,240.27,1,true,34.00
843,236.82,1,true,34.00
844,242.31,1,true,34.00
845,244.60,1,true,34.00
846,243.24,1,true,34.00
847,235.56,1,true,34.00
848,238.98,1,true,34.00
849,241.23,1,true,34.00
850,245.48,1,true,34.00
851,238.89,1,true,34.00
852,238.34,1,true,34.00
853,237.89,1,true,34.00
854,237.83,1,true,34.00
855,229.14,1,true,34.00
856,246.63,1,true,34.00
857,246.08,1,true,34.00
858,227.35,1,true,34.00
859,240.74,1,true,34.00
860,240.14,1,true,34.00
861,222.33,1,true,34.00
862,241.02,1,true,34.00
863,253.71,1,true,34.00
864,232.71,1,true,34.00
865,238.55,1,true,34.00
866,243.67,1,true,34.00
867,240.62,1,true,34.00
868,243.63,1,true,34.00
869,239.34,1,true,34.00
870,231.88,1,true,34.00
871,237.54,1,true,34.00
872,221.21,1,true,34.00
873,252.93,1,true,34.00
874,234.86,1,true,34.00
875,230.07,1,true,35.00
876,236.07,1,true,35.00
877,238.70,1,true,35.00
878,239.97,1,true,35.00
879,238.97,1,true,35.00
880,262.47,1,true,35.00
881,236.11,1,true,35.00
882,222.92,1,true,35.00
883,256.10,1,true,35.00
884,237.60,1,true,35.00
885,248.24,1,true,35.00
886,239.75,1,true,35.00
887,250.35,1,true,35.00
888,238.24,1,true,35.00
889,243.33,1,true,35.00
890,244.42,1,true,35.00
891,251.81,1,true,35.00
892,245.15,1,true,35.00
893,232.25,1,true,35.00
894,244.68,1,true,35.00
895,250.11,1,true,35.00
896,250.58,1,true,35.00
897,233.19,1,true,35.00
898,252.06,1,true,35.00
899,246.82,1,true,35.00
900,258.34,1,true,35.00
901,241.60,1,true,35.00
902,240.62,1,true,35.00
903,229.58,1,true,35.00
904,239.14,1,true,35.00
905,238.94,1,true,35.00
906,261.56,1,true,35.00
907,230.95,1,true,35.00
908,250.27,1,true,35.00
909,244.89,1,true,35.00
910,234.16,1,true,35.00
911,244.21,1,true,35.00
912,235.40,1,true,35.00
913,231.84,1,true,35.00
914,238.42,1,true,35.00
915,241.98,1,true,35.00
916,233.76,1,true,35.00
917,233.91,1,true,35.00
918,241.23,1,true,35.00
919,238.19,1,true,35.00
920,234.11,1,true,35.00
921,240.78,1,true,35.00
922,238.15,1,true,35.00
923,228.33,1,true,35.00
924,218.94,1,true,35.00
925,241.26,1,true,35.00
926,242.80,1,true,35.00
927,234.87,1,true,35.00
928,236.81,1,true,35.00
929,219.16,1,true,35.00
930,240.16,1,true,35.00
931,230.01,1,true,35.00
932,229.61,1,true,35.00
933,239.92,1,true,35.00
934,233.37,1,true,35.00
935,226.97,1,true,35.00
936,237.84,1,true,35.00
937,230.08,1,true,35.00
938,237.91,1,true,35.00
939,235.58,1,true,35.00
940,252.00,1,true,35.00
941,229.52,1,true,35.00
942,226.28,1,true,35.00
943,246.55,1,true,35.00
944,230.09,1,true,35.00
945,231.51,1,true,35.00
946,240.29,1,true,35.00
947,227.63,1,true,35.00
948,239.57,1,true,35.00
949,233.61,1,true,35.00
950,237.42,1,true,35.00
951,242.03,1,true,35.00
952,231.95,1,true,35.00
953,238.75,1,true,35.00
954,228.42,1,true,35.00
955,235.82,1,true,35.00
956,230.89,1,true,35.00
957,232.87,1,true,35.00
958,227.86,1,true,35.00
959,238.60,1,true,35.00
960,242.17,1,true,35.00
961,241.36,1,true,35.00
962,229.48,1,true,35.00
963,251.59,1,true,35.00
964,235.36,1,true,35.00
965,243.50,1,true,35.00
966,229.00,1,true,35.00
967,229.51,1,true,35.00
968,238.26,1,true,35.00
969,237.45,1,true,35.00
970,238.74,1,true,35.00
971,237.94,1,true,35.00
972,233.43,1,true,35.00
973,231.78,1,true,35.00
974,238.17,1,true,35.00
975,237.55,1,true,35.00
976,230.36,1,true,35.00
977,226.71,1,true,35.00
978,246.86,1,true,35.00
979,248.82,1,true,35.00
980,224.61,1,true,35.00
981,234.56,1,true,35.00
982,233.45,1,true,35.00
983,237.65,1,true,35.00
984,240.66,1,true,35.00
985,236.74,1,true,35.00
986,225.71,1,true,35.00
987,217.38,1,true,35.00
988,250.40,1,true,35.00
989,229.88,1,true,35.00
